	keygen	keygen
	0.012251	0.011502
	0.016819	0.015980
	0.020993	0.020694
	0.026305	0.025818
	0.032520	0.034134
	0.037681	0.036438
	0.040553	0.041763
	0.046512	0.046474
	0.050929	0.050367
	0.055846	0.055751
	0.060478	0.063074
	0.066107	0.077195
	0.070486	0.082712
	0.075982	0.081895
	0.080259	0.081376
	0.085253	0.086274
	0.090170	0.091151
	0.109213	0.099312
	0.098999	0.110569
	0.105416	0.117195
	0.118911	0.117309
	0.115765	0.120592
	0.126529	0.144604
	0.124618	0.125558
	0.129577	0.131186
	0.138646	0.134866
	0.139007	0.140137
	0.146013	0.148655
	0.151721	0.151718
	0.156035	0.157031
	Encryption with OR	Encryption with OR
	0.030845	0.030798
	0.034684	0.036128
	0.039433	0.040370
	0.046186	0.045435
	0.048827	0.052174
	0.054196	0.054921
	0.059571	0.060033
	0.065347	0.064931
	0.069973	0.068928
	0.078043	0.074905
	0.078430	0.088787
	0.084029	0.083449
	0.086618	0.099187
	0.103825	0.090884
	0.096609	0.118311
	0.103128	0.099623
	0.104118	0.110799
	0.111616	0.111291
	0.117920	0.115714
	0.119492	0.123253
	0.127142	0.127320
	0.131027	0.134223
	0.136439	0.143842
	0.139771	0.142687
	0.148631	0.156367
	0.158752	0.153595
	0.169370	0.155571
	0.159710	0.161320
	0.173081	0.165842
	0.183428	0.168590
	Decryption	Decryption
	0.032674	0.033145
	0.032323	0.031398
	0.032532	0.032843
	0.033881	0.037804
	0.032166	0.031670
	0.032060	0.032420
	0.032605	0.033183
	0.033843	0.033758
	0.032239	0.033234
	0.032132	0.034261
	0.043547	0.048151
	0.033534	0.033697
	0.032142	0.032983
	0.032682	0.032299
	0.045800	0.033133
	0.044869	0.038762
	0.032621	0.032758
	0.032442	0.031952
	0.033711	0.048011
	0.033723	0.034246
	0.032437	0.032212
	0.032747	0.033450
	0.033858	0.033138
	0.033564	0.034940
	0.032888	0.032303
	0.032284	0.032534
	0.034982	0.032578
	0.033283	0.033786
	0.033339	0.032255
	0.032740	0.033315
